Bridge Density by Municipality:
County, Municipality, Number of Bridges
Schenectady, Duanesburg (Town), 22
Ulster, Hardenburgh (Town), 22
Cattaraugus, Freedom (Town), 21
Chenango, Norwich (Town), 21
Erie, Newstead (Town), 21
Essex, Elizabethtown (Town), 21
Essex, Schroon (Town), 21
Franklin, Moira (Town), 21
Genesee, Pembroke (Town), 21
Monroe, Irondequoit (Town), 21
Monroe, Parma (Town), 21
Onondaga, Clay (Town), 21
Onondaga, Van Buren (Town), 21
Orange, Cornwall (Town), 21
Tompkins, Newfield (Town), 21
Ulster, Denning (Town), 21
Ulster, Shawangunk (Town), 21
Washington, White Creek (Town), 21
Cattaraugus, Randolph (Town), 20
Cattaraugus, Red House (Town), 20
Chautauqua, Sherman (Town), 20
Clinton, Chazy (Town), 20
Columbia, Copake (Town), 20
Delaware, Delhi (Town), 20
Erie, Grand Island (Town), 20
Essex, North Hudson (Town), 20
Herkimer, Ohio (Town), 20
Livingston, Groveland (Town), 20
Montgomery, Root (Town), 20
Oneida, New Hartford (Town), 20
Oneida, Westmoreland (Town), 20
Oswego, Mexico (Town), 20
Otsego, Oneonta (Town), 20
Saratoga, Malta (Town), 20
Steuben, Corning (Town), 20
Steuben, Hartsville (Town), 20
Steuben, Hornell (City), 20
Sullivan, Delaware (Town), 20
Westchester, Elmsford (Village), 20
Allegany, Almond (Town), 19
Allegany, Cuba (Town), 19
Allegany, Friendship (Town), 19
Allegany, Scio (Town), 19
Broome, Johnson City (Village), 19
Cattaraugus, Conewango (Town), 19
Chenango, Sherburne (Town), 19
Clinton, Peru (Town), 19
Columbia, Canaan (Town), 19
Cortland, Homer (Town), 19
Dutchess, Fishkill (Town), 19
Genesee, Alexander (Town), 19
Greene, Coxsackie (Town), 19
Jefferson, Orleans (Town), 19
Jefferson, Pamelia (Town), 19
Jefferson, Rodman (Town), 19
Montgomery, Florida (Town), 19
Montgomery, Glen (Town), 19
Niagara, Lockport (Town), 19
Onondaga, Lafayette (Town), 19
Orleans, Ridgeway (Town), 19
Oswego, Richland (Town), 19
Steuben, Greenwood (Town), 19
St Lawrence, Canton (Town), 19
Tioga, Tioga (Town), 19
Washington, Fort Ann (Town), 19
Washington, Salem (Town), 19
Cattaraugus, Ashford (Town), 18
Cayuga, Brutus (Town), 18
Clinton, Champlain (Town), 18
Clinton, Saranac (Town), 18
Columbia, New Lebanon (Town), 18
Delaware, Kortright (Town), 18
Delaware, Roxbury (Town), 18
Delaware, Tompkins (Town), 18
Dutchess, Red Hook (Town), 18
Erie, Alden (Town), 18
Erie, Boston (Town), 18
Greene, Windham (Town), 18
Montgomery, Canajoharie (Town), 18
Nassau, Westbury (Village), 18
Niagara, Wheatfield (Town), 18
Onondaga, Camillus (Town), 18
Orleans, Kendall (Town), 18
Orleans, Murray (Town), 18
Otsego, Otego (Town), 18
Rensselaer, Pittstown (Town), 18
Rensselaer, Rensselaer (City), 18
Rensselaer, Stephentown (Town), 18
Seneca, Tyre (Town), 18
Steuben, Cohocton (Town), 18
Steuben, Jasper (Town), 18
Sullivan, Callicoon (Town), 18
Tompkins, Caroline (Town), 18
Tompkins, Ithaca (Town), 18
Warren, Chester (Town), 18
Westchester, North Castle (Town), 18
Allegany, Angelica (Town), 17
Allegany, Hume (Town), 17
Broome, Fenton (Town), 17
Broome, Maine (Town), 17
Cattaraugus, Ellicottville (Town), 17
Cattaraugus, Franklinville (Town), 17
Chautauqua, Carroll (Town), 17
Chautauqua, Westfield (Town), 17
Chemung, Catlin (Town), 17
Chemung, Van Etten (Town), 17
Chenango, Bainbridge (Town), 17
Columbia, Hillsdale (Town), 17
Cortland, Virgil (Town), 17
Delaware, Andes (Town), 17
Delaware, Davenport (Town), 17
Delaware, Walton (Town), 17
Dutchess, Clinton (Town), 17
Dutchess, Hyde Park (Town), 17
Erie, Lackawanna (City), 17
Essex, Chesterfield (Town), 17
Franklin, Fort Covington (Town), 17
Franklin, Malone (Town), 17
Genesee, Stafford (Town), 17
Herkimer, Danube (Town), 17
Jefferson, Alexandria (Town), 17
Monroe, Pittsford (Town), 17
Nassau, North Hempstead (Town), 17
Niagara, Hartland (Town), 17
Onondaga, Elbridge (Town), 17
Ontario, Manchester (Town), 17
Otsego, Milford (Town), 17
Putnam, Kent (Town), 17
Saratoga, Clifton Park (Town), 17
Steuben, Fremont (Town), 17
St Lawrence, Fowler (Town), 17
Tompkins, Groton (Town), 17
Albany, Berne (Town), 16
Allegany, Amity (Town), 16
Allegany, Rushford (Town), 16
Allegany, Willing (Town), 16
Cattaraugus, Carrollton (Town), 16
Cayuga, Auburn (City), 16
Chautauqua, Jamestown (City), 16
Chenango, Afton (Town), 16
Columbia, Austerlitz (Town), 16
Cortland, Truxton (Town), 16
Delaware, Franklin (Town), 16
Dutchess, Dover (Town), 16
Franklin, Franklin (Town), 16
Hamilton, Indian Lake (Town), 16
Lewis, Croghan (Town), 16
Livingston, North Dansville (Town), 16
Livingston, West Sparta (Town), 16
Madison, Oneida (City), 16
Monroe, Rush (Town), 16
Oneida, Annsville (Town), 16
Oneida, Western (Town), 16
Rensselaer, Hoosick (Town), 16
Rensselaer, Petersburg (Town), 16
Rensselaer, Troy (City), 16
Schoharie, Fulton (Town), 16
Steuben, Troupsburg (Town), 16
Steuben, Wheeler (Town), 16
Steuben, Woodhull (Town), 16
St Lawrence, Lawrence (Town), 16
Tioga, Spencer (Town), 16
Tioga, Waverly (Village), 16
Tompkins, Ulysses (Town), 16
Warren, Queensbury (Town), 16
Westchester, North Salem (Town), 16
Albany, New Scotland (Town), 15
Allegany, Andover (Town), 15
Broome, Barker (Town), 15
Cattaraugus, Olean (City), 15
Chautauqua, Clymer (Town), 15
Delaware, Stamford (Town), 15
Erie, Collins (Town), 15
Herkimer, German Flatts (Town), 15
Jefferson, Watertown (Town), 15
Lewis, Martinsburg (Town), 15
Monroe, Clarkson (Town), 15
Niagara, Somerset (Town), 15
Onondaga, Marcellus (Town), 15
Orange, Crawford (Town), 15
Orange, Minisink (Town), 15
Oswego, Schroeppel (Town), 15
Rensselaer, Poestenkill (Town), 15
Schenectady, Schenectady (City), 15
Tompkins, Lansing (Town), 15
Westchester, Somers (Town), 15
Wyoming, Bennington (Town), 15
Allegany, Belfast (Town), 14
Broome, Conklin (Town), 14
Broome, Lisle (Town), 14
Chautauqua, Mina (Town), 14
Chautauqua, Sheridan (Town), 14
Chemung, Elmira (City), 14
Chenango, Oxford (Town), 14
Chenango, Smithville (Town), 14
Delaware, Deposit (Town), 14
Dutchess, Amenia (Town), 14
Erie, Eden (Town), 14
Genesee, Batavia (Town), 14
Genesee, Bethany (Town), 14
Hamilton, Wells (Town), 14
Herkimer, Salisbury (Town), 14
Lewis, Lowville (Town), 14
Lewis, West Turin (Town), 14
Livingston, Avon (Town), 14
Madison, Lebanon (Town), 14
Monroe, Mendon (Town), 14
Monroe, Ogden (Town), 14
Monroe, Wheatland (Town), 14
Otsego, Maryland (Town), 14
Putnam, Philipstown (Town), 14
Rensselaer, East Greenbush (Town), 14
Saratoga, Wilton (Town), 14
Schenectady, Princetown (Town), 14
Schoharie, Broome (Town), 14
Steuben, Corning (City), 14
Steuben, Prattsburg (Town), 14
Suffolk, Riverhead (Town), 14
Ulster, Olive (Town), 14
Wyoming, Sheldon (Town), 14
Allegany, Burns (Town), 13
Allegany, Independence (Town), 13
Allegany, Ward (Town), 13
Allegany, Wellsville (Town), 13
Cattaraugus, East Otto (Town), 13
Cattaraugus, Great Valley (Town), 13
Cattaraugus, Humphrey (Town), 13
Cattaraugus, Ischua (Town), 13
Cattaraugus, New Albion (Town), 13
Chautauqua, Charlotte (Town), 13
Chautauqua, Harmony (Town), 13
Chautauqua, Villenova (Town), 13
Chemung, Horseheads (Village), 13
Columbia, Ghent (Town), 13
Cortland, Cortland (City), 13
Delaware, Meredith (Town), 13
Dutchess, Poughkeepsie (Town), 13
Dutchess, Stanford (Town), 13
Dutchess, Wappinger (Town), 13
Erie, Brant (Town), 13
Erie, Sardinia (Town), 13
Erie, Wales (Town), 13
Essex, Minerva (Town), 13
Hamilton, Arietta (Town), 13
Jefferson, Hounsfield (Town), 13
Livingston, York (Town), 13
Madison, Deruyter (Town), 13
Monroe, Penfield (Town), 13
Niagara, Wilson (Town), 13
Oneida, Deerfield (Town), 13
Orange, New Windsor (Town), 13
Orange, Tuxedo (Town), 13
Otsego, Exeter (Town), 13
Otsego, Hartwick (Town), 13
Putnam, Patterson (Town), 13
Rensselaer, Sand Lake (Town), 13
Rensselaer, Schaghticoke (Town), 13
Rockland, Haverstraw (Town), 13
Saratoga, Providence (Town), 13
Steuben, Howard (Town), 13
Steuben, Rathbone (Town), 13
Sullivan, Fremont (Town), 13
Sullivan, Highland (Town), 13
Warren, Lake George (Town), 13
Washington, Granville (Town), 13
Westchester, Peekskill (City), 13
Westchester, Scarsdale (Village), 13
Albany, Westerlo (Town), 12
Allegany, West Almond (Town), 12
Broome, Binghamton (Town), 12
Cattaraugus, Mansfield (Town), 12
Cayuga, Locke (Town), 12
Cayuga, Sterling (Town), 12
Chenango, Pitcher (Town), 12
Clinton, Ellenburg (Town), 12
Clinton, Schuyler Falls (Town), 12
Columbia, Gallatin (Town), 12
Cortland, Preble (Town), 12
Delaware, Bovina (Town), 12
Dutchess, Milan (Town), 12
Erie, Tonawanda (City), 12
Franklin, Bangor (Town), 12
Franklin, Constable (Town), 12
Greene, Jewett (Town), 12
Greene, New Baltimore (Town), 12
Hamilton, Long Lake (Town), 12
Jefferson, Rutland (Town), 12
Madison, Canastota (Village), 12
Nassau, Old Westbury (Village), 12
Niagara, Newfane (Town), 12
Niagara, Pendleton (Town), 12
Oneida, Camden (Town), 12
Oneida, Forestport (Town), 12
Oneida, Lee (Town), 12
Orange, Hamptonburgh (Town), 12
Oswego, Oswego (Town), 12
Otsego, Unadilla (Town), 12
Rockland, Chestnut Ridge (Village), 12
Schoharie, Cobleskill (Village), 12
Schoharie, Schoharie (Town), 12
Schuyler, Cayuta (Town), 12
St Lawrence, Brasher (Town), 12
St Lawrence, Colton (Town), 12
St Lawrence, Russell (Town), 12
St Lawrence, Waddington (Town), 12
Sullivan, Forestburgh (Town), 12
Ulster, Gardiner (Town), 12
Ulster, Rosendale (Town), 12
Washington, Easton (Town), 12
Westchester, Briarcliff Manor (Village), 12
Westchester, Eastchester (Town), 12
Westchester, Mamaroneck (Town), 12
Cattaraugus, Olean (Town), 11
Cattaraugus, Portville (Town), 11
Chautauqua, French Creek (Town), 11
Chemung, Erin (Town), 11
Chenango, Smyrna (Town), 11
Columbia, Taghkanic (Town), 11
Cortland, Harford (Town), 11
Cortland, Homer (Village), 11
Dutchess, Beekman (Town), 11
Dutchess, Pleasant Valley (Town), 11
Erie, Holland (Town), 11
Erie, Marilla (Town), 11
Essex, Crown Point (Town), 11
Franklin, Bellmont (Town), 11
Fulton, Stratford (Town), 11
Genesee, Byron (Town), 11
Genesee, Darien (Town), 11
Jefferson, Adams (Town), 11
Jefferson, Le Ray (Town), 11
Livingston, Leicester (Town), 11
Madison, Hamilton (Town), 11
Monroe, Riga (Town), 11
Montgomery, Amsterdam (Town), 11
Onondaga, Onondaga (Town), 11
Onondaga, Pompey (Town), 11
Ontario, Canandaigua (City), 11
Ontario, Seneca (Town), 11
Orange, Chester (Village), 11
Orange, Goshen (Town), 11
Orange, Greenville (Town), 11
Oswego, Hannibal (Town), 11
Oswego, Parish (Town), 11
Otsego, Oneonta (City), 11
Otsego, Otsego (Town), 11
Putnam, Putnam Valley (Town), 11
Rensselaer, Brunswick (Town), 11
Rensselaer, Nassau (Town), 11
Rockland, Sloatsburg (Village), 11
Saratoga, Ballston (Town), 11
Saratoga, Moreau (Town), 11
Steuben, Riverside (Village), 11
Steuben, Wayland (Town), 11
St Lawrence, De Kalb (Town), 11
Suffolk, Southold (Town), 11
Tioga, Newark Valley (Town), 11
Ulster, Esopus (Town), 11
Ulster, Marbletown (Town), 11
Warren, Stony Creek (Town), 11
Washington, Fort Edward (Town), 11
Washington, Hebron (Town), 11
Washington, Kingsbury (Town), 11
Wayne, Macedon (Town), 11
Wayne, Sodus (Town), 11
Westchester, New Castle (Town), 11
Wyoming, Pike (Town), 11
Allegany, Birdsall (Town), 10
Allegany, Caneadea (Town), 10
Allegany, Cuba (Village), 10
Broome, Triangle (Town), 10
Cattaraugus, Farmersville (Town), 10
Cattaraugus, Little Valley (Town), 10
Cattaraugus, Salamanca (City), 10
Chautauqua, Kiantone (Town), 10
Chautauqua, Ripley (Town), 10
Chenango, Guilford (Town), 10
Chenango, Plymouth (Town), 10
Clinton, Altona (Town), 10
Clinton, Au Sable (Town), 10
Columbia, Livingston (Town), 10
Dutchess, North East (Town), 10
Dutchess, Rhinebeck (Town), 10
Erie, North Collins (Town), 10
Fulton, Broadalbin (Town), 10
Fulton, Johnstown (City), 10
Fulton, Johnstown (Town), 10
Genesee, Alabama (Town), 10
Herkimer, Herkimer (Town), 10
Herkimer, Manheim (Town), 10
Herkimer, Russia (Town), 10
Herkimer, Webb (Town), 10
Jefferson, Watertown (City), 10
Lewis, Greig (Town), 10
Lewis, Leyden (Town), 10
Madison, Lenox (Town), 10
Oneida, Paris (Town), 10
Onondaga, Skaneateles (Town), 10
Ontario, Farmington (Town), 10
Orange, Highlands (Town), 10
Orange, Mount Hope (Town), 10
Orleans, Gaines (Town), 10
Oswego, New Haven (Town), 10
Otsego, Laurens (Town), 10
Otsego, Middlefield (Town), 10
Rensselaer, Berlin (Town), 10
Saratoga, Milton (Town), 10
Schenectady, Glenville (Town), 10
Schoharie, Cobleskill (Town), 10
Schoharie, Conesville (Town), 10
Schoharie, Middleburgh (Town), 10
Schuyler, Montour Falls (Village), 10
Schuyler, Orange (Town), 10
Steuben, Hornby (Town), 10
St Lawrence, Norfolk (Town), 10
St Lawrence, Oswegatchie (Town), 10
Tompkins, Enfield (Town), 10
Ulster, Kingston (City), 10
Ulster, Lloyd (Town), 10
Wyoming, Eagle (Town), 10
Wyoming, Warsaw (Village), 10
Allegany, Alfred (Town), 9
Allegany, Angelica (Village), 9
Allegany, Centerville (Town), 9
Broome, Whitney Point (Village), 9
Cattaraugus, Yorkshire (Town), 9
Cayuga, Genoa (Town), 9
Cayuga, Mentz (Town), 9
Chenango, New Berlin (Town), 9
Chenango, North Norwich (Town), 9
Cortland, Cincinnatus (Town), 9
Cortland, Cuyler (Town), 9
Cortland, Marathon (Town), 9
Cortland, Willet (Town), 9
Dutchess, Pawling (Town), 9
Erie, Colden (Town), 9
Erie, Depew (Village), 9
Essex, Newcomb (Town), 9
Essex, Ticonderoga (Town), 9
Essex, Westport (Town), 9
Essex, , 9
Franklin, Chateaugay (Town), 9
Fulton, Gloversville (City), 9
Fulton, Oppenheim (Town), 9
Genesee, Bergen (Town), 9
Genesee, Le Roy (Town), 9
Herkimer, Ilion (Village), 9
Herkimer, Stark (Town), 9
Jefferson, Adams (Village), 9
Jefferson, Lorraine (Town), 9
Livingston, Geneseo (Town), 9
Montgomery, Palatine (Town), 9
Montgomery, St. Johnsville (Town), 9
Nassau, East Hills (Village), 9
Niagara, Lockport (City), 9
Niagara, Niagara (Town), 9
Oneida, Kirkland (Town), 9
Oneida, Marshall (Town), 9
Oneida, Remsen (Town), 9
Oneida, Whitestown (Town), 9
Ontario, Bristol (Town), 9
Ontario, Richmond (Town), 9
Orange, Chester (Town), 9
Orleans, Yates (Town), 9
Oswego, Redfield (Town), 9
Oswego, Sandy Creek (Town), 9
Oswego, Volney (Town), 9
Otsego, Burlington (Town), 9
Otsego, New Lisbon (Town), 9
Richmond, , 9
Rockland, Hillburn (Village), 9
Rockland, Suffern (Village), 9
Saratoga, Greenfield (Town), 9
Saratoga, Saratoga (Town), 9
Schoharie, Richmondville (Village), 9
Schoharie, Wright (Town), 9
Schuyler, Catharine (Town), 9
Steuben, Bath (Village), 9
Steuben, Bradford (Town), 9
Steuben, Tuscarora (Town), 9
Steuben, Urbana (Town), 9
Steuben, West Union (Town), 9
St Lawrence, Fine (Town), 9
St Lawrence, Rossie (Town), 9
Sullivan, Bethel (Town), 9
Sullivan, Tusten (Town), 9
Tioga, Berkshire (Town), 9
Ulster, Ellenville (Village), 9
Wayne, Palmyra (Town), 9
Wyoming, Java (Town), 9
Albany, Menands (Village), 8
Allegany, Genesee (Town), 8
Allegany, Wellsville (Village), 8
Cattaraugus, Machias (Town), 8
Cattaraugus, Otto (Town), 8
Cayuga, Throop (Town), 8
Chautauqua, Cherry Creek (Town), 8
Chautauqua, Dunkirk (Town), 8
Chautauqua, Falconer (Village), 8
Chenango, Mcdonough (Town), 8
Chenango, Otselic (Town), 8
Delaware, Hamden (Town), 8
Delaware, Walton (Village), 8
Dutchess, Union Vale (Town), 8
Dutchess, Washington (Town), 8
Essex, Moriah (Town), 8
Franklin, Bombay (Town), 8
Franklin, Westville (Town), 8
Genesee, Oakfield (Town), 8
Herkimer, Herkimer (Village), 8
Herkimer, Newport (Town), 8
Lewis, Diana (Town), 8
Lewis, Lyonsdale (Town), 8
Livingston, Livonia (Town), 8
Livingston, Ossian (Town), 8
Livingston, Portage (Town), 8
Monroe, Fairport (Village), 8
Montgomery, Canajoharie (Village), 8
Nassau, Valley Stream (Village), 8
Oneida, Vernon (Town), 8
Oneida, Vienna (Town), 8
Ontario, Canandaigua (Town), 8
Ontario, East Bloomfield (Town), 8
Orange, Newburgh (City), 8
Orange, Port Jervis (City), 8
Orleans, Albion (Town), 8
Oswego, Constantia (Town), 8
Oswego, Granby (Town), 8
Oswego, Oswego (City), 8
Oswego, Pulaski (Village), 8
Oswego, West Monroe (Town), 8
Otsego, Butternuts (Town), 8
Otsego, Cherry Valley (Town), 8
Otsego, Plainfield (Town), 8
Putnam, Carmel (Town), 8
Saratoga, Ballston Spa (Village), 8
Saratoga, Day (Town), 8
Saratoga, Halfmoon (Town), 8
Saratoga, Waterford (Village), 8
Schoharie, Blenheim (Town), 8
Seneca, Ovid (Town), 8
Steuben, Dansville (Town), 8
St Lawrence, Madrid (Town), 8
St Lawrence, Massena (Town), 8
St Lawrence, Pitcairn (Town), 8
Sullivan, , 8
Tioga, Richford (Town), 8
Tompkins, Dryden (Village), 8
Ulster, New Paltz (Town), 8
Warren, Bolton (Town), 8
Warren, Horicon (Town), 8
Warren, Warrensburg (Town), 8
Westchester, Hastings-On-Hudson (Village), 8
Westchester, Lewisboro (Town), 8
Westchester, Mount Kisco (Village), 8
Westchester, Ossining (Village), 8
Yates, Middlesex (Town), 8
Allegany, Andover (Village), 7
Allegany, New Hudson (Town), 7
Broome, Nanticoke (Town), 7
Broome, Windsor (Village), 7
Broome, , 7
Cattaraugus, Gowanda (Village), 7
Cattaraugus, Little Valley (Village), 7
Cayuga, Montezuma (Town), 7
Chautauqua, Gerry (Town), 7
Chemung, Baldwin (Town), 7
Chemung, Elmira (Town), 7
Chenango, Coventry (Town), 7
Chenango, Preston (Town), 7
Clinton, Plattsburgh (City), 7
Erie, Akron (Village), 7
Essex, Jay (Town), 7
Essex, North Elba (Town), 7
Franklin, Santa Clara (Town), 7
Fulton, Caroga (Town), 7
Fulton, Ephratah (Town), 7
Hamilton, Morehouse (Town), 7
Herkimer, Winfield (Town), 7
Jefferson, Brownville (Town), 7
Jefferson, Clayton (Town), 7
Jefferson, Henderson (Town), 7
Jefferson, Philadelphia (Town), 7
Lewis, Harrisburg (Town), 7
Lewis, Lewis (Town), 7
Lewis, Montague (Town), 7
Lewis, Osceola (Town), 7
Madison, Brookfield (Town), 7
Madison, Cazenovia (Town), 7
Madison, Eaton (Town), 7
Montgomery, Fort Plain (Village), 7
Montgomery, Mohawk (Town), 7
Nassau, North Hills (Village), 7
Onondaga, East Syracuse (Village), 7
Ontario, Gorham (Town), 7
Orange, Goshen (Village), 7
Orange, Warwick (Village), 7
Schoharie, Seward (Town), 7
Schoharie, Sharon (Town), 7
Schuyler, Montour (Town), 7
Steuben, Cameron (Town), 7
St Lawrence, Clare (Town), 7
St Lawrence, Pierrepont (Town), 7
Sullivan, Cochecton (Town), 7
Washington, Whitehall (Town), 7
Wayne, Arcadia (Town), 7
Wayne, Lyons (Village), 7
Wayne, Savannah (Town), 7
Wayne, Wolcott (Town), 7
Westchester, Croton-On-Hudson (Village), 7
Westchester, Pelham Manor (Village), 7
Westchester, Pleasantville (Village), 7
Westchester, Port Chester (Village), 7
Westchester, Rye Brook (Village), 7
Wyoming, Middlebury (Town), 7
Wyoming, Orangeville (Town), 7
Wyoming, Warsaw (Town), 7
Yates, Barrington (Town), 7
Albany, Cohoes (City), 6
Albany, Green Island (Village), 6
Albany, Knox (Town), 6
Allegany, Allen (Town), 6
Allegany, Clarksville (Town), 6
Allegany, Granger (Town), 6
Allegany, Wirt (Town), 6
Cattaraugus, Dayton (Town), 6
Cattaraugus, Napoli (Town), 6
Cattaraugus, South Valley (Town), 6
Cayuga, Aurelius (Town), 6
Cayuga, Moravia (Village), 6
Cayuga, Summerhill (Town), 6
Chautauqua, Arkwright (Town), 6
Chautauqua, Sinclairville (Village), 6
Chautauqua, Westfield (Village), 6
Chenango, Sherburne (Village), 6
Clinton, Black Brook (Town), 6
Columbia, Ancram (Town), 6
Columbia, Greenport (Town), 6
Columbia, Stockport (Town), 6
Cortland, Marathon (Village), 6
Cortland, Solon (Town), 6
Delaware, Hancock (Village), 6
Delaware, Masonville (Town), 6
Dutchess, Beacon (City), 6
Erie, East Aurora (Village), 6
Erie, Lancaster (Village), 6
Essex, St. Armand (Town), 6
Essex, Willsboro (Town), 6
Essex, Wilmington (Town), 6
Franklin, Burke (Town), 6
Franklin, Saranac Lake (Village), 6
Fulton, Mayfield (Town), 6
Genesee, Elba (Town), 6
Greene, Ashland (Town), 6
Greene, Catskill (Village), 6
Greene, Greenville (Town), 6
Hamilton, Inlet (Town), 6
Hamilton, Lake Pleasant (Town), 6
Jefferson, Theresa (Town), 6
Kings, , 6
Lewis, Denmark (Town), 6
Lewis, Lyons Falls (Village), 6
Lewis, New Bremen (Town), 6
Lewis, Pinckney (Town), 6
