Feature Carried Condition Correlation:
90IX: Total: 119, Poor: 15, Poor %: 12.61%
COUNTY ROAD 56: Total: 4, Poor: 0, Poor %: 0.00%
WALNUT STREET: Total: 4, Poor: 1, Poor %: 25.00%
LYON BROOK ROAD: Total: 4, Poor: 0, Poor %: 0.00%
RYAN ROAD: Total: 4, Poor: 1, Poor %: 25.00%
HARDSCRABBLE ROAD: Total: 4, Poor: 1, Poor %: 25.00%
TRUE BROOK ROAD: Total: 4, Poor: 1, Poor %: 25.00%
ATLANTIC AVENUE: Total: 4, Poor: 0, Poor %: 0.00%
PINE HILL ROAD: Total: 4, Poor: 2, Poor %: 50.00%
CR 6: Total: 4, Poor: 0, Poor %: 0.00%
HORTON BROOK ROAD: Total: 4, Poor: 1, Poor %: 25.00%
OAK STREET: Total: 4, Poor: 0, Poor %: 0.00%
CARMAN ROAD: Total: 4, Poor: 0, Poor %: 0.00%
READBURN ROAD: Total: 4, Poor: 0, Poor %: 0.00%
RESERVOIR ROAD: Total: 4, Poor: 0, Poor %: 0.00%
BEERS BROOK ROAD: Total: 4, Poor: 0, Poor %: 0.00%
84IX: Total: 4, Poor: 0, Poor %: 0.00%
NPS ROUTE 10: Total: 4, Poor: 1, Poor %: 25.00%
COUNTY ROAD 59: Total: 4, Poor: 1, Poor %: 25.00%
COUNTY ROAD 62: Total: 4, Poor: 1, Poor %: 25.00%
COUNTY ROAD 80: Total: 4, Poor: 0, Poor %: 0.00%
COUNTY ROAD 78: Total: 4, Poor: 0, Poor %: 0.00%
GEORGE URBAN BLVD: Total: 4, Poor: 1, Poor %: 25.00%
RAPIDS ROAD: Total: 4, Poor: 0, Poor %: 0.00%
LAKESHORE ROAD: Total: 4, Poor: 0, Poor %: 0.00%
ABBOTT ROAD: Total: 4, Poor: 0, Poor %: 0.00%
RANSOM ROAD: Total: 4, Poor: 1, Poor %: 25.00%
HIGHLAND AVENUE: Total: 4, Poor: 0, Poor %: 0.00%
CENTERLINE ROAD: Total: 4, Poor: 0, Poor %: 0.00%
BUNKER HILL ROAD: Total: 4, Poor: 1, Poor %: 25.00%
COUNTY ROAD 109: Total: 4, Poor: 1, Poor %: 25.00%
PISECO ROAD: Total: 4, Poor: 1, Poor %: 25.00%
KNOWLESVILLE ROAD: Total: 4, Poor: 0, Poor %: 0.00%
LOCKPORT ROAD: Total: 4, Poor: 0, Poor %: 0.00%
SOUTH ROAD: Total: 4, Poor: 0, Poor %: 0.00%
SPRUCETON ROAD: Total: 4, Poor: 3, Poor %: 75.00%
CR24 OLD PISECO ROAD: Total: 4, Poor: 3, Poor %: 75.00%
FORD STREET: Total: 4, Poor: 0, Poor %: 0.00%
SECOND AVENUE: Total: 4, Poor: 1, Poor %: 25.00%
FISH CREEK ROAD: Total: 4, Poor: 0, Poor %: 0.00%
PINE GROVE ROAD: Total: 4, Poor: 0, Poor %: 0.00%
BAILEY ROAD: Total: 4, Poor: 0, Poor %: 0.00%
GORDON ROAD: Total: 4, Poor: 2, Poor %: 50.00%
WEST ROAD: Total: 4, Poor: 1, Poor %: 25.00%
CLINTON AVENUE: Total: 4, Poor: 1, Poor %: 25.00%
260 X: Total: 4, Poor: 1, Poor %: 25.00%
REDMAN ROAD: Total: 4, Poor: 0, Poor %: 0.00%
HILL ROAD: Total: 4, Poor: 0, Poor %: 0.00%
BASKET ROAD: Total: 4, Poor: 0, Poor %: 0.00%
HEMPSTEAD AVENUE: Total: 4, Poor: 1, Poor %: 25.00%
STEWART AVENUE: Total: 4, Poor: 1, Poor %: 25.00%
OLD COUNTRY ROAD: Total: 4, Poor: 0, Poor %: 0.00%
LINCOLN AVENUE: Total: 4, Poor: 0, Poor %: 0.00%
OLD MILL ROAD: Total: 4, Poor: 0, Poor %: 0.00%
CARMEN ROAD: Total: 4, Poor: 1, Poor %: 25.00%
ONEIDA STREET: Total: 4, Poor: 0, Poor %: 0.00%
COUNTY ROAD 84: Total: 4, Poor: 0, Poor %: 0.00%
MAPLE AVENUE: Total: 4, Poor: 1, Poor %: 25.00%
LAKE STREET: Total: 4, Poor: 0, Poor %: 0.00%
BALLARD ROAD: Total: 4, Poor: 0, Poor %: 0.00%
EAST KENT ROAD: Total: 4, Poor: 1, Poor %: 25.00%
150TH STREET: Total: 4, Poor: 1, Poor %: 25.00%
CROSS BAY BLVD: Total: 4, Poor: 0, Poor %: 0.00%
HILLSIDE AVENUE: Total: 4, Poor: 2, Poor %: 50.00%
JACKSON AVENUE: Total: 4, Poor: 0, Poor %: 0.00%
LAWRENCE STREET: Total: 4, Poor: 1, Poor %: 25.00%
278I278I02021011: Total: 4, Poor: 1, Poor %: 25.00%
FOURTH STREET: Total: 4, Poor: 1, Poor %: 25.00%
ORANGEBURG ROAD: Total: 4, Poor: 0, Poor %: 0.00%
COUNTY ROAD 106: Total: 4, Poor: 0, Poor %: 0.00%
HAUVERVILLE ROAD: Total: 4, Poor: 0, Poor %: 0.00%
DRY RUN ROAD: Total: 4, Poor: 1, Poor %: 25.00%
SLATE CREEK ROAD: Total: 4, Poor: 0, Poor %: 0.00%
SOUTH HILL ROAD: Total: 4, Poor: 3, Poor %: 75.00%
GROOVILLE ROAD: Total: 4, Poor: 0, Poor %: 0.00%
RESORTS WORLD DRIVE: Total: 4, Poor: 0, Poor %: 0.00%
VALLEY ROAD: Total: 4, Poor: 0, Poor %: 0.00%
SALMON CREEK ROAD: Total: 4, Poor: 1, Poor %: 25.00%
DENNING ROAD: Total: 4, Poor: 3, Poor %: 75.00%
209 209 86031350: Total: 4, Poor: 0, Poor %: 0.00%
CR 113, RIVER ROAD: Total: 4, Poor: 2, Poor %: 50.00%
ARDSLEY ROAD: Total: 4, Poor: 0, Poor %: 0.00%
ANDERSON HILL RD: Total: 4, Poor: 0, Poor %: 0.00%
87IX SB: Total: 3, Poor: 0, Poor %: 0.00%
90I 90I11013020: Total: 3, Poor: 0, Poor %: 0.00%
9 X: Total: 3, Poor: 0, Poor %: 0.00%
87IX NB: Total: 3, Poor: 0, Poor %: 0.00%
RUSSELL ROAD: Total: 3, Poor: 0, Poor %: 0.00%
OLD RAVENA ROAD: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY ROAD 2B: Total: 3, Poor: 0, Poor %: 0.00%
QUIGG HOLLOW ROAD: Total: 3, Poor: 0, Poor %: 0.00%
SECOND STREET: Total: 3, Poor: 0, Poor %: 0.00%
CRAWFORD CREEK RD: Total: 3, Poor: 0, Poor %: 0.00%
HILTONVILLE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
SULLIVAN ROAD: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY ROAD 13C: Total: 3, Poor: 0, Poor %: 0.00%
NARROWS ROAD: Total: 3, Poor: 0, Poor %: 0.00%
NORTH HILL ROAD: Total: 3, Poor: 0, Poor %: 0.00%
HIGGINS ROAD: Total: 3, Poor: 1, Poor %: 33.33%
COUNTY ROAD 7D: Total: 3, Poor: 0, Poor %: 0.00%
POND ROAD: Total: 3, Poor: 1, Poor %: 33.33%
BROAD STREET: Total: 3, Poor: 1, Poor %: 33.33%
COUNTY ROAD 7B: Total: 3, Poor: 0, Poor %: 0.00%
WEST BRANCH ROAD: Total: 3, Poor: 0, Poor %: 0.00%
VANDERMARK ROAD: Total: 3, Poor: 0, Poor %: 0.00%
WHITE ROAD: Total: 3, Poor: 1, Poor %: 33.33%
BALDWIN ROAD: Total: 3, Poor: 0, Poor %: 0.00%
STEVENS STREET: Total: 3, Poor: 0, Poor %: 0.00%
1 X: Total: 3, Poor: 0, Poor %: 0.00%
EAST 149TH STREET: Total: 3, Poor: 0, Poor %: 0.00%
EAST 233RD STREET: Total: 3, Poor: 0, Poor %: 0.00%
LAFAYETTE AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
SHORE ROAD: Total: 3, Poor: 1, Poor %: 33.33%
WHITE PLAINS ROAD: Total: 3, Poor: 0, Poor %: 0.00%
WILLIS AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
CLOVERDALE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
EXCHANGE STREET: Total: 3, Poor: 0, Poor %: 0.00%
EAST WINDSOR ROAD: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY ROAD 69: Total: 3, Poor: 0, Poor %: 0.00%
JENNINGS CREEK RD: Total: 3, Poor: 0, Poor %: 0.00%
AMES ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CR 28: Total: 3, Poor: 0, Poor %: 0.00%
COUNTRY CLUB ROAD: Total: 3, Poor: 0, Poor %: 0.00%
DAY HOLLOW ROAD: Total: 3, Poor: 0, Poor %: 0.00%
GLENWOOD ROAD: Total: 3, Poor: 1, Poor %: 33.33%
MASON ROAD: Total: 3, Poor: 0, Poor %: 0.00%
ROCKWELL ROAD: Total: 3, Poor: 0, Poor %: 0.00%
BARTON ROAD: Total: 3, Poor: 0, Poor %: 0.00%
FARR ROAD: Total: 3, Poor: 0, Poor %: 0.00%
GOOSENECK ROAD: Total: 3, Poor: 0, Poor %: 0.00%
GULF ROAD: Total: 3, Poor: 0, Poor %: 0.00%
COWENS CORNERS RD: Total: 3, Poor: 0, Poor %: 0.00%
FLAT IRON ROAD: Total: 3, Poor: 1, Poor %: 33.33%
BENTLEY ROAD: Total: 3, Poor: 0, Poor %: 0.00%
FREEDOM ROAD: Total: 3, Poor: 0, Poor %: 0.00%
BOZARD HILL ROAD: Total: 3, Poor: 0, Poor %: 0.00%
ABBOTTS ROAD: Total: 3, Poor: 0, Poor %: 0.00%
MARSH ROAD: Total: 3, Poor: 0, Poor %: 0.00%
FIRST STREET: Total: 3, Poor: 0, Poor %: 0.00%
TOAD HOLLOW ROAD: Total: 3, Poor: 0, Poor %: 0.00%
951RX: Total: 3, Poor: 0, Poor %: 0.00%
IRELAND ROAD: Total: 3, Poor: 0, Poor %: 0.00%
GENESEE STREET: Total: 3, Poor: 0, Poor %: 0.00%
WASHINGTON ST: Total: 3, Poor: 0, Poor %: 0.00%
JERICHO ROAD: Total: 3, Poor: 2, Poor %: 66.67%
SMITH STREET: Total: 3, Poor: 0, Poor %: 0.00%
CHAMPLIN ROAD: Total: 3, Poor: 0, Poor %: 0.00%
TURNPIKE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
MYERS ROAD: Total: 3, Poor: 1, Poor %: 33.33%
LAKESIDE DRIVE: Total: 3, Poor: 0, Poor %: 0.00%
WILTSIE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
